Name,Control,Region,Locale,AdmissionRate,UndergradPopulation,%White,%Black,%Hispanic,% sian,%AmericanIndian,%PacificIslander,%Biracial,%NonresidentAliens,AverageCost,CompletionRate150time,3YearDefaultRate,MedianDebtonGraduation,MedianDebtonWithdrawal,MedianFamilyIncome,PovertyRate,NumberofUnemployed8yearsafterentry,NumberofEmployed8yearsafterentry,MedianEarnings8yearsAfterEntry
Johns Hopkins University,Private,Mid-Atlantic,Large City,0.1813,5932,0.4872,0.0556,0.1015,0.1861,0.0012,0.0007,0.0406,0.1043,58980,0.9254,1.7,18500,15504,57761.5,6.17999983,135,1250,64400
Johnson & Wales University-North Miami,Private,Southeast,Large Suburb,0.6496,1937,0.2039,0.2623,0.2385,0.0088,0.0021,0.001,0.0382,0.1172,38974,0.4627,11,27000,11000,55421,7.84999991,798,7539,33000
Johnson & Wales University-Providence,Private,New England,Mid-size City,0.7602,9067,0.5503,0.0936,0.0978,0.0138,0.002,0.0006,0.0435,0.079,40136,0.5783,11,27000,11000,55421,7.84999991,798,7539,33000
Johnson C Smith University,Private,Southeast,Large City,0.3668,1382,0.0058,0.7279,0.0601,0.0014,0.0014,0.0029,0.0166,0.0441,30314,0.4431,27.4,32000,11000,34256.5,12.0699997,73,653,25100
Johnson State College,Public,New England,Distant Rural,0.9688,1433,0.8437,0.0174,0.0314,0.0105,0.0084,0.0035,0.0195,0.0049,20404,0.3659,13.4,26268,12000,43579,6.05000019,77,628,28000
Judson University,Private,Great Lakes,Mid-size City,0.7069,1020,0.5961,0.0598,0.1069,0.0167,0,0.002,0.0206,0.0382,37635,0.5,6,25000,9500,67400.5,5,74,532,36300
Juniata College,Private,Mid-Atlantic,Distant Town,0.7409,1503,0.7399,0.0286,0.0379,0.0253,0.0007,0,0.0246,0.0758,47269,0.7507,1.6,27000,8750,81010.5,6.19999981,37,465,43000
Kalamazoo College,Private,Great Lakes,Small City,0.6689,1427,0.6251,0.0427,0.0848,0.0589,0.0021,0.0014,0.0441,0.0694,48547,0.7741,1.3,27000,12000,97614,5.40999985,21,235,41400
Kansas State University,Public,Great Plains,Small City,0.9591,19647,0.7808,0.0408,0.058,0.0123,0.0045,0.0011,0.029,0.0585,20140,0.5944,7.9,22500,10500,66719,6.26999998,475,5773,39600
Kean University,Public,Mid-Atlantic,Large Suburb,0.8037,11975,0.3893,0.1925,0.2416,0.0585,0.0015,0.0042,0.0154,0.0119,19462,0.4623,10.4,24000,12500,44190,7.51999998,312,2769,41100
Keene State College,Public,New England,Distant Town,0.8185,4643,0.8199,0.0073,0.0274,0.0103,0.0015,0,0.0168,0,24614,0.634,4,26000,7550,83694,3.9000001,86,1621,36100
Kennesaw State University,Public,Southeast,Large Suburb,0.5654,22211,0.629,0.1769,0.0722,0.033,0.0022,0.0015,0.0379,0.0189,20630,0.4338,8.6,22500,11000,41150.5,5.05999994,424,3115,37200
Kent State University at Kent,Public,Great Lakes,Large Suburb,0.8302,22071,0.7555,0.0864,0.0283,0.0121,0.002,0.0009,0.0258,0.0579,23995,0.5152,14.7,26225,10500,51560,6.92000008,965,8473,33100
Kentucky State University,Public,Southeast,Distant Town,0.3774,2131,0.1985,0.618,0.0127,0.0061,0.0019,0.0019,0.0216,0.0033,18387,0.1797,28.6,34942,12157,31104,12.3599997,90,617,26100
Kenyon College,Private,Great Lakes,Distant Town,0.3838,1694,0.7568,0.0325,0.0549,0.0561,0.0059,0,0.0189,0.0437,57910,0.8908,1.5,18304.5,10000,110054,5.61000013,18,222,37400
Kettering University,Private,Great Lakes,Mid-size City,0.6159,1640,0.7756,0.0335,0.0335,0.0323,0.0024,0.0006,0.0268,0.0402,49303,0.6078,5.3,26761.5,20000,83977,5.92000008,27,630,69900
Keuka College,Private,Mid-Atlantic,Distant Town,0.8778,1830,0.7557,0.0781,0.0333,0.0082,0.0071,0.0033,0.0071,0.0333,42008,0.4818,5.9,26897.5,16953,56190,8.19999981,35,594,38500
Keystone College,Private,Mid-Atlantic,Large Suburb,0.7205,1550,0.7548,0.0529,0.0342,0.0084,0.0039,0.0019,0.0142,0.0058,31012,0.4221,9.6,26000,12000,45833,7.84999991,112,733,28500
King University,Private,Southeast,Small City,0.6377,2121,0.8095,0.0556,0.0217,0.0057,0.0028,0,0.0146,0.0269,36533,0.5165,5.5,20500,13750,52011,9.96000004,27,281,39900
King's College,Private,Mid-Atlantic,Small City,0.7151,1987,0.7952,0.0267,0.0689,0.0201,0.0015,0.001,0.0186,0.0015,41453,0.6577,7,27000,9500,78687.5,6.53000021,51,741,42900
Knox College,Private,Great Lakes,Remote Town,0.7496,1402,0.582,0.0663,0.1027,0.0549,0.0036,0,0.0364,0.1155,46291,0.7948,4.7,27000,12900,84560.5,5.73999977,35,302,35400
Kutztown University of Pennsylvania,Public,Mid-Atlantic,Fringe Town,0.8179,8538,0.8138,0.0703,0.0609,0.0124,0.0015,0.0012,0.0179,0.0086,23130,0.5482,6.7,26000,9500,74351,5.90999985,236,2888,36600
La Roche College,Private,Mid-Atlantic,Large Suburb,0.5565,1344,0.6533,0.0662,0.0134,0.0082,0,0,0.0104,0.1295,35493,0.4558,6.5,25000,9500,62381,6.55000019,48,503,37000
La Salle University,Private,Mid-Atlantic,Large City,0.8021,4228,0.5492,0.1895,0.1005,0.0459,0.0031,0.0014,0.0471,0.0163,47134,0.6443,3.8,27000,12431.5,71045.5,9.22000027,116,1369,49400
La Sierra University,Private,Far West,Large City,0.4677,2060,0.1607,0.0714,0.4204,0.1553,0.0024,0.0238,0.0437,0.1204,39842,0.4918,6.3,27000,12000,51186,11.4200001,67,532,37300
Lafayette College,Private,Mid-Atlantic,Large Suburb,0.3414,2452,0.6782,0.051,0.06,0.0298,0.0012,0.0004,0.0228,0.06,57688,0.8832,1.6,24338,6500,107123,5.19999981,30,390,62400
Lake Forest College,Private,Great Lakes,Large Suburb,0.5727,1577,0.5764,0.0615,0.1452,0.0488,0.0032,0.0013,0.0342,0.1015,49743,0.6376,4.6,27000,9500,81078,4.98000002,26,354,41600
Lake Superior State University,Public,Great Lakes,Remote Town,0.9183,2299,0.793,0.0122,0.0213,0.0052,0.0839,0,0,0.0661,19571,0.42,12.4,25869,9750,48687,7.55000019,135,1020,32600
Lakeland College,Private,Great Lakes,Fringe Rural,0.6621,2449,0.8085,0.0604,0.0404,0.0233,0.0114,0.0008,0.0098,0.0351,32706,0.5083,6.2,27000,12500,45209,5.88999987,70,858,37900
Lamar University,Public,Southwest,Mid-size City,0.7682,9175,0.4936,0.3019,0.1136,0.0384,0.0045,0.0001,0.015,0.0167,21142,0.346,13.5,23182,9500,31781.5,12.4200001,298,2258,35800
Lancaster Bible College,Private,Mid-Atlantic,Large Suburb,0.5813,1212,0.5635,0.2789,0.0322,0.0248,0.0017,0,0.0272,0.0041,27372,0.6952,4.3,18750,8750,60888,5.34999991,52,256,28400
Lander University,Public,Southeast,Distant Town,0.4216,2750,0.5629,0.3342,0.0142,0.0036,0.0025,0.0004,0.0211,0.0305,21628,0.515,10,26780,9500,45814,9.89999962,88,879,31300
Lane College,Private,Southeast,Small City,0.4916,1554,0.0013,0.9987,0,0,0,0,0,0,17406,0.3082,12.9,31478,9500,25617,16.1399994,76,443,20300
Lasell College,Private,New England,Small City,0.7614,1667,0.7091,0.0714,0.0858,0.0234,0.0036,0.0018,0.0306,0.0312,43854,0.5294,6.8,26000,8750,77869,5.42000008,46,531,34600
Lawrence Technological University,Private,Great Lakes,Small City,0.4365,3033,0.457,0.0557,0.0201,0.2298,0.0033,0.0003,0,0.0488,39890,0.4939,8.5,27850,13875,63620,6.42000008,53,707,50000
Lawrence University,Private,Great Lakes,Small City,0.7269,1517,0.7337,0.0257,0.0527,0.0382,0.0059,0.0066,0.0369,0.0929,50570,0.8174,0.9,27050,16000,91379,4.6500001,31,316,35800
Le Moyne College,Private,Mid-Atlantic,Mid-size City,0.619,2619,0.7812,0.0554,0.0569,0.0263,0.0061,0.0004,0.0229,0.0057,42068,0.7383,5.1,25750,11500,62276,8.13000011,82,1156,45000
Le Moyne-Owen College,Private,Southeast,Large City,0.2335,1009,0.003,0.9921,0.003,0.002,0,0,0,0,16427,0.1685,19,0,12240,17437.5,20.5,42,226,23300
Lebanon Valley College,Private,Mid-Atlantic,Small Suburb,0.6686,1698,0.8516,0.0206,0.0483,0.0159,0.0035,0.0006,0.023,0.0006,46169,0.7311,1.4,27000,10500,88001.5,4.75,27,638,41000
Lee University,Private,Southeast,Small City,0.9165,4143,0.7847,0.0589,0.0403,0.0109,0.0046,0.0014,0.0046,0.0456,23554,0.5313,11.3,28000,10837.5,54410,8.02000046,165,1150,30000
Lehigh University,Private,Mid-Atlantic,Small City,0.3084,4904,0.6876,0.0336,0.0805,0.0695,0.0006,0,0.0269,0.0681,55441,0.8584,0.9,24750,13000,102543,4.03999996,58,964,68600
Lenoir-Rhyne University,Private,Southeast,Small City,0.6806,1409,0.687,0.1391,0.049,0.0177,0.0057,0.0007,0.0227,0.0106,39425,0.4877,11.5,25000,9500,62412.5,6.73999977,40,541,33600
Lesley University,Private,New England,Mid-size City,0.6749,1785,0.7031,0.0482,0.0728,0.0364,0.0034,0.0034,0.0342,0.0168,47788,0.4602,4.4,25000,12874.5,55849,6.55000019,88,691,33200
LeTourneau University,Private,Southwest,Small City,0.4066,2173,0.6383,0.0934,0.0911,0.011,0.0046,0.0009,0.0341,0.0456,37031,0.528,6.9,29250,15750,44614.5,8.93999958,180,1721,44500
Lewis & Clark College,Private,Far West,Large City,0.6285,1985,0.6479,0.0217,0.0841,0.0605,0.0141,0.003,0.0076,0.0494,53455,0.7451,1.9,22389.5,10500,67573,6.48000002,50,482,37600
Lewis University,Private,Great Lakes,Large Suburb,0.5587,4489,0.6471,0.076,0.1729,0.0341,0.0011,0.002,0.0209,0.0082,34079,0.6246,5.2,25000,15223,71614,5.03999996,88,1090,43500
Lewis-Clark State College,Public,Rocky Mountains,Small City,0.9977,3161,0.8358,0.0082,0.049,0.0095,0.0199,0.0019,0.031,0.0275,16184,0.2698,11.3,22231,9200,30202,9.14000034,197,1193,29700
Liberty University,Private,Southeast,Small City,0.2165,47079,0.4844,0.1559,0.0181,0.0068,0.005,0.0017,0.0216,0.0256,31344,0.5017,7.9,24750,9874,51134,7.59999991,677,3617,31400
Limestone College,Private,Southeast,Fringe Town,0.5322,3150,0.4019,0.5114,0.0241,0.0048,0.0044,0,0.0032,0.033,34658,0.3644,13.1,29250,12500,31465.5,10.9200001,129,1007,33800
Lincoln Memorial University,Private,Southeast,Remote Town,0.6995,1632,0.8388,0.0423,0.0214,0.0086,0.0012,0,0.0116,0.0239,31241,0.5304,5.3,18832,9500,31386,14.3999996,84,568,35400
Lincoln University of Pennsylvania,Public,Mid-Atlantic,Large Suburb,0.6133,1614,0.0105,0.8371,0.0223,0.0012,0.0006,0,0.0149,0.0291,22497,0.3984,23.3,33830,14778,35974,16.4500008,106,700,30900
Lindenwood University,Private,Great Plains,Small City,0.6629,7928,0.5883,0.1449,0.0352,0.0063,0.0039,0.0023,0.0264,0.1094,30193,0.4484,4,27000,14000,62127,6.15999985,178,1796,35400
Linfield College-McMinnville Campus,Private,Far West,Distant Town,0.9219,1641,0.6435,0.0189,0.0945,0.0597,0.0104,0.0055,0.0999,0.0372,45708,0.6786,3.3,25000,12000,65697,6.88999987,72,865,47900
Lipscomb University,Private,Southeast,Large City,0.527,2874,0.7672,0.0769,0.0505,0.0268,0.0014,0,0.0153,0.0216,37181,0.64,3.5,22125,9500,79148,6.57999992,67,644,35500
LIU Brooklyn,Private,Mid-Atlantic,Large City,0.869,4905,0.2014,0.3278,0.1586,0.1574,0.0039,0.0014,0.0104,0.0216,42712,0.3017,9.5,25000,12500,15328,18.3799992,467,3835,42100
LIU Post,Private,Mid-Atlantic,Large Suburb,0.8067,4067,0.4773,0.0993,0.1301,0.0425,0.0015,0,0.0116,0.1114,44701,0.3902,9.5,25000,12500,39528,11.9200001,467,3835,42100
Livingstone College,Private,Southeast,Mid-size Suburb,0.7122,1172,0.0043,0.9087,0.0094,0.0009,0.0051,0,0,0.0026,25050,0.2036,25.5,40000,9500,28538.5,11.6800003,82,376,20900
Lock Haven University,Public,Mid-Atlantic,Distant Town,0.8777,4783,0.8668,0.0782,0.0234,0.0075,0.0021,0,0.0121,0.004,19145,0.4733,8,27000,9283.5,61119,7.30000019,139,1850,36700
